                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                 3.0329,                 3.5297,                  3.974,                0.00333,                0.41667,                0.01244,                0.00439,                 3.2779,                 3.8684,                 4.0879,               0.000505,               0.000505,               0.000505
                     53,                 2.9183,                 3.2235,                 3.9152,                0.00333,                0.41667,                0.01244,                0.00439,                 3.2779,                 3.8684,                 4.0879,             0.00050461,             0.00050461,             0.00050461
                     54,                 3.1153,                 3.4485,                 4.0276,                0.00333,                0.41667,                0.02097,                0.00719,                 3.2842,                 3.8009,                 4.0935,             0.00050382,             0.00050382,             0.00050382
                     55,                 3.0002,                 3.0616,                 3.8481,                0.00333,                0.41667,                0.02097,                0.00719,                 3.2842,                 3.8009,                 4.0935,             0.00050263,             0.00050263,             0.00050263
                     56,                 3.3232,                 3.3087,                 3.9581,                0.00333,                0.41667,                0.02097,                0.00719,                 3.2842,                 3.8009,                 4.0935,             0.00050105,             0.00050105,             0.00050105
                     57,                 3.1859,                 3.0608,                 3.9222,                0.00311,                0.38889,                0.03399,                0.01196,                 3.2934,                 3.8277,                 4.0891,             0.00049907,             0.00049907,             0.00049907
                     58,                 3.0486,                 3.3435,                 4.0096,                0.00311,                0.38889,                0.03399,                0.01196,                 3.2934,                 3.8277,                 4.0891,              0.0004967,              0.0004967,              0.0004967
                     59,                 3.1557,                 3.3512,                 3.9373,                0.00311,                0.38889,                0.03399,                0.01196,                 3.2934,                 3.8277,                 4.0891,             0.00049393,             0.00049393,             0.00049393
                     60,                 3.1637,                 3.1802,                 3.8832,                0.00311,                0.38889,                0.01859,                0.00622,                 3.3079,                 3.8717,                 4.0823,             0.00049076,             0.00049076,             0.00049076
                     61,                 3.2988,                 3.1629,                 3.9148,                0.00311,                0.38889,                0.01859,                0.00622,                 3.3079,                 3.8717,                 4.0823,              0.0004872,              0.0004872,              0.0004872
                     62,                 3.2795,                 3.2729,                 3.9245,                0.00311,                0.38889,                0.01859,                0.00622,                 3.3079,                 3.8717,                 4.0823,             0.00048324,             0.00048324,             0.00048324
                     63,                 3.2479,                 3.0674,                   3.88,                0.00311,                0.38889,                0.02029,                0.00628,                 3.3209,                 3.9038,                 4.0742,             0.00047889,             0.00047889,             0.00047889
                     64,                 3.3335,                 3.2762,                 3.9536,                0.00311,                0.38889,                0.02029,                0.00628,                 3.3209,                 3.9038,                 4.0742,             0.00047414,             0.00047414,             0.00047414
                     65,                 3.2807,                  3.239,                 3.9343,                0.00311,                0.38889,                0.02029,                0.00628,                 3.3209,                 3.9038,                 4.0742,             0.00046899,             0.00046899,             0.00046899
                     66,                 3.0001,                 2.9094,                 3.8391,                0.00311,                0.38889,                0.02495,                0.00727,                  3.332,                 3.9649,                 4.0622,             0.00046345,             0.00046345,             0.00046345
                     67,                 2.9663,                 3.2081,                  3.809,                0.00311,                0.38889,                0.02495,                0.00727,                  3.332,                 3.9649,                 4.0622,             0.00045751,             0.00045751,             0.00045751
                     68,                  3.137,                 3.5346,                 3.9629,                0.00311,                0.38889,                0.02495,                0.00727,                  3.332,                 3.9649,                 4.0622,             0.00045118,             0.00045118,             0.00045118
                     69,                 2.9792,                 3.0561,                 3.8395,                0.00311,                0.38889,                0.02825,                0.00779,                 3.3346,                 3.9921,                 4.0495,             0.00044445,             0.00044445,             0.00044445
                     70,                 3.0595,                 3.2995,                 3.9566,                0.00311,                0.38889,                0.02825,                0.00779,                 3.3346,                 3.9921,                 4.0495,             0.00043732,             0.00043732,             0.00043732
                     71,                 3.1615,                 3.1511,                 3.8454,                0.00311,                0.38889,                0.02825,                0.00779,                 3.3346,                 3.9921,                 4.0495,              0.0004298,              0.0004298,              0.0004298
                     72,                 3.2048,                 3.4233,                 3.8767,                0.00311,                0.38889,                0.02221,                0.00657,                 3.3328,                 4.0191,                 4.0409,             0.00042188,             0.00042188,             0.00042188
                     73,                 3.2558,                  3.316,                 3.9179,                0.00311,                0.38889,                0.02221,                0.00657,                 3.3328,                 4.0191,                 4.0409,             0.00041357,             0.00041357,             0.00041357
                     74,                 3.0451,                 3.0255,                 3.8188,                0.00311,                0.38889,                0.02221,                0.00657,                 3.3328,                 4.0191,                 4.0409,             0.00040486,             0.00040486,             0.00040486
                     75,                 2.8342,                 3.1919,                 3.8771,                0.00289,                0.36111,                0.02481,                0.00644,                 3.3305,                 4.0548,                 4.0355,             0.00039575,             0.00039575,             0.00039575
                     76,                 3.1393,                 3.2262,                 3.9131,                0.00289,                0.36111,                0.02481,                0.00644,                 3.3305,                 4.0548,                 4.0355,             0.00038625,             0.00038625,             0.00038625
                     77,                 3.2954,                 3.3258,                  3.872,                0.00289,                0.36111,                0.02481,                0.00644,                 3.3305,                 4.0548,                 4.0355,             0.00037635,             0.00037635,             0.00037635
                     78,                 2.9608,                 3.3329,                 3.8759,                0.00311,                0.38889,                0.02354,                 0.0065,                  3.323,                 4.0227,                 4.0341,             0.00036606,             0.00036606,             0.00036606
                     79,                 3.1213,                 3.1817,                 3.8226,                0.00311,                0.38889,                0.02354,                 0.0065,                  3.323,                 4.0227,                 4.0341,             0.00035537,             0.00035537,             0.00035537
                     80,                 3.3223,                 3.1569,                 3.8699,                0.00311,                0.38889,                0.02354,                 0.0065,                  3.323,                 4.0227,                 4.0341,             0.00034428,             0.00034428,             0.00034428
                     81,                 3.0632,                 3.1513,                 3.8383,                0.00311,                0.38889,                0.02263,                 0.0071,                 3.3016,                 3.9355,                 4.0442,              0.0003328,              0.0003328,              0.0003328
                     82,                 3.1132,                 3.3159,                  3.835,                0.00311,                0.38889,                0.02263,                 0.0071,                 3.3016,                 3.9355,                 4.0442,             0.00032092,             0.00032092,             0.00032092
                     83,                 3.0788,                 3.1736,                 3.8355,                0.00311,                0.38889,                0.02263,                 0.0071,                 3.3016,                 3.9355,                 4.0442,             0.00030865,             0.00030865,             0.00030865
                     84,                 2.9409,                 2.9976,                 3.7667,                0.00333,                0.41667,                0.03056,                0.00854,                 3.2682,                 3.8449,                 4.0677,             0.00029598,             0.00029598,             0.00029598
                     85,                 3.2056,                 3.1199,                 3.8672,                0.00333,                0.41667,                0.03056,                0.00854,                 3.2682,                 3.8449,                 4.0677,             0.00028291,             0.00028291,             0.00028291
                     86,                 3.1969,                 3.2314,                 3.8017,                0.00333,                0.41667,                0.03056,                0.00854,                 3.2682,                 3.8449,                 4.0677,             0.00026945,             0.00026945,             0.00026945
                     87,                 3.0743,                 3.1848,                 3.8521,                0.00333,                0.41667,                0.03056,                0.00854,                 3.2682,                 3.8449,                 4.0677,             0.00025559,             0.00025559,             0.00025559
